,Name,BURDEN_RESCALED_AV_PCT,BURDEN_RESCALED_MAX_PCT,MAX_POLL_RAW,MEAN_POLL_RAW,OGBURDEN_AV,OGBURDEN_MAX
110,Tilden Regional Park-Lake Anza,17.07317073,26.01626016,33.62227227,25.22249332,15.44715447,12.19512195
111,Tilden Regional Park-Nimitz Way,13.82113821,14.63414634,33.62227227,24.12595925,13.00813008,12.19512195
112,Tilden Regional Park-Seaview Trail,40.6504065,9.756097561,34.01873279,33.70708212,44.71544715,16.2601626
113,Tudor Home,33.33333333,13.00813008,31.4845626,28.75086223,26.01626016,8.943089431
114,UC Gill Tract,82.11382114,86.99186992,60.13210098,48.74952354,78.86178862,83.7398374
115,UCB Women's Faculty Club,35.77235772,43.08943089,37.23613114,33.6455077,43.90243902,33.33333333
116,University Village Community Garden,91.05691057,86.99186992,60.13210098,54.69091342,92.68292683,83.7398374
117,Urban Tilth's Edible Forest,96.74796748,93.49593496,54.02401108,51.37274467,82.92682927,70.73170732
118,Wakefield Home,24.3902439,60.16260163,62.31199359,41.41887667,67.4796748,99.18699187
119,Wildcat Canyon Regional Park,86.17886179,95.93495935,46.27273619,34.30835863,46.34146341,54.47154472
120,Wildcat Marsh Staging Area,95.93495935,82.11382114,60.52621317,58.72763007,95.93495935,91.8699187
121,Wilkinson Home,68.29268293,95.12195122,60.13210098,49.37530031,79.67479675,83.7398374
122,Williams Home,34.95934959,35.77235772,46.5442526,35.30352731,49.59349593,56.09756098
123,Wolff Home,30.89430894,51.2195122,35.83212578,31.64554428,32.5203252,30.08130081
124,YES Nature to Neighborhoods,98.37398374,97.56097561,54.00994306,45.20519072,72.35772358,69.91869919
