"","Name","UWIN.Code","Start.Date","End.Date","Num.Days","Notes","states_abbrev","mean_income","mean_age","mean_percent_white","mean_pop_density","mean_housing_density","mean_daily_visits","median_daily_visits","mean_weekday_visits","mean_weekend_visits","restaurant_count","total_road_length","road_density","road_area","distance_to_road","imp_surf","ndvi","elev","nightlight_avg","nldc_landcover","bio_1","bio_12","human_mod","NatWalkInd","Ac_Total","Ac_Land","Ac_Water","Workers","dist2nearest_camera","buffer_size","X","BURDEN_RESCALED_AV_PCT","BURDEN_RESCALED_MAX_PCT","MAX_POLL_RAW","MEAN_POLL_RAW","OGBURDEN_AV","OGBURDEN_MAX","geometry"
"1","Ahern Home",NA,"01/25/2023","02/01/2023",7,"IOR","CA",179060.5,41.35,63.7734562761709,2050.70866988506,783.184668105247,3378,3316.5,3549.83333333333,2862.5,1,351.831881114404,0.0112042754277909,31401.5737458332,76.6925063443773,7.22222222222222,0.281796748105863,197.453959620276,2.28086785984658,"Urban and Built-up",13.9499998092651,119.5,0.74132713675499,5.83333333333333,335.2294505,335.2294505,0,904,476.719897963641,100,1,5.691056911,7.317073171,34.38327414,23.96526226,12.19512195,19.51219512,c(-122.210054, 37.838156)
"2","Ahern Home",NA,"01/25/2023","02/01/2023",7,"IOR","CA",179060.5,41.35,63.7734562761709,2050.70866988506,783.184668105247,3378,3316.5,3549.83333333333,2862.5,1,351.831881114404,0.0112042754277909,31401.5737458332,76.6925063443773,7.22222222222222,0.281796748105863,197.453959620276,2.28086785984658,"Urban and Built-up",13.9499998092651,119.5,0.74132713675499,11,168.1078133,168.1078133,0,690,476.719897963641,100,1,5.691056911,7.317073171,34.38327414,23.96526226,12.19512195,19.51219512,c(-122.210054, 37.838156)
"3","Ahern Home",NA,"01/25/2023","02/01/2023",7,"IOR","CA",179060.5,41.35,63.7734562761709,2050.70866988506,783.184668105247,3378,3316.5,3549.83333333333,2862.5,1,351.831881114404,0.0112042754277909,31401.5737458332,76.6925063443773,7.22222222222222,0.281796748105863,197.453959620276,2.28086785984658,"Urban and Built-up",13.9499998092651,119.5,0.74132713675499,12.3333333333333,125.670118,125.670118,0,458,476.719897963641,100,1,5.691056911,7.317073171,34.38327414,23.96526226,12.19512195,19.51219512,c(-122.210054, 37.838156)
"4","Ahern Home",NA,"01/25/2023","02/01/2023",7,"IOR","CA",179060.5,41.35,63.7734562761709,2050.70866988506,783.184668105247,3378,3316.5,3549.83333333333,2862.5,1,351.831881114404,0.0112042754277909,31401.5737458332,76.6925063443773,7.22222222222222,0.281796748105863,197.453959620276,2.28086785984658,"Urban and Built-up",13.9499998092651,119.5,0.74132713675499,12.5,138.296928,138.296928,0,623,476.719897963641,100,1,5.691056911,7.317073171,34.38327414,23.96526226,12.19512195,19.51219512,c(-122.210054, 37.838156)
"5","Albany Waterfront Trail-Albany Bulb","AWT-AB","11/29/2023","12/13/2023",14,"","CA",105871,34.1,36.4338193452117,669.41837526182,283.467221667584,7833.2,7103,6862.90909090909,10501.5,1,188.535150432795,0.00600400323751866,31401.5737457718,29.2830604858375,38.21875,0.145692933898097,3.60335688080106,2.48882713691629,"Urban and Built-up",14.3500003814697,122.2,0.740065306425095,12.5,433.4588664,159.3555313,274.1033351,360,908.651382165591,100,2,89.43089431,90.24390244,60.13210098,52.56645591,88.61788618,83.7398374,c(-122.312563, 37.889749)
"6","Albany Waterfront Trail-Albany Bulb","AWT-AB","11/29/2023","12/13/2023",14,"","CA",105871,34.1,36.4338193452117,669.41837526182,283.467221667584,7833.2,7103,6862.90909090909,10501.5,1,188.535150432795,0.00600400323751866,31401.5737457718,29.2830604858375,38.21875,0.145692933898097,3.60335688080106,2.48882713691629,"Urban and Built-up",14.3500003814697,122.2,0.740065306425095,17.8333333333333,677.3675699,273.9024428,403.4651271,798,908.651382165591,100,2,89.43089431,90.24390244,60.13210098,52.56645591,88.61788618,83.7398374,c(-122.312563, 37.889749)
"7","Albe Home",NA,"11/21/2022","12/06/2022",15,"IOR","CA",132540,39.4,35.0132625994695,2905.66502646255,1102.5866560721,8375.125,8460,8073,9281.5,1,620.385866762616,0.0197565214974922,31401.5737457308,63.5792309860438,63.8888888888889,0.145086155954137,41.5818581930021,2.76170764425808,"Urban and Built-up",14.3500003814697,130.1,0.821706473827362,13.1666666666667,119.9981846,119.9981846,0,824,581.992202196402,100,3,92.68292683,96.74796748,46.27273619,38.10089326,57.72357724,54.47154472,c(-122.3209, 37.942801)
"8","Alexander Home",NA,"01/27/2023","02/03/2023",7,"Sarah (Alison + Hoover) Home","CA",136710.5,43.7,45.5756979360467,3221.47278959682,1411.05393628931,21409.875,21412.5,21328.1666666667,21655,1,807.168567920018,0.0257047170455508,31401.5737457701,8.87402622153895,61.1388888888889,0.14847285587054,31.7329139275984,3.27100836282563,"Urban and Built-up",14.3500003814697,129.15,0.914944142103195,18.3333333333333,76.1305216,76.1305216,0,399,488.521859577132,100,4,91.8699187,91.8699187,56.59650758,41.71351875,69.10569106,77.23577236,c(-122.32046, 37.933188)
"9","Alexander Home",NA,"01/27/2023","02/03/2023",7,"Sarah (Alison + Hoover) Home","CA",136710.5,43.7,45.5756979360467,3221.47278959682,1411.05393628931,21409.875,21412.5,21328.1666666667,21655,1,807.168567920018,0.0257047170455508,31401.5737457701,8.87402622153895,61.1388888888889,0.14847285587054,31.7329139275984,3.27100836282563,"Urban and Built-up",14.3500003814697,129.15,0.914944142103195,13.3333333333333,81.6008214,81.6008214,0,613,488.521859577132,100,4,91.8699187,91.8699187,56.59650758,41.71351875,69.10569106,77.23577236,c(-122.32046, 37.933188)
"10","Andrews Home",NA,"01/25/2023","02/11/2023",17,"","CA",153437.5,43.6,64.9420194709364,5041.11690605293,2221.72264708614,9038.16666666667,8973.5,9255.69230769231,8472.6,1,495.50874961728,0.015779742557775,31401.5737457727,65.3584502021582,60.8378378378378,0.135294669243539,87.4635857870412,3.22915944210997,"Urban and Built-up",14.1999998092651,107.55,0.920411318540573,13.1666666666667,39.6459595,39.6459595,0,440,409.360657627075,100,5,54.47154472,36.58536585,35.33385722,32.95785471,37.39837398,26.01626016,c(-122.221358, 37.808965)
