"","X","Name","mean_income","mean_age","mean_percent_white","mean_pop_density","mean_housing_density","restaurant_count","imp_surf","NatWalkInd","Ac_Total","Ac_Land","Ac_Water","Workers","CEC_mal_class_en.ID","CEC_mal_class_en.Class_EN","osm_landcov_fusion","osm_landcov_fusion_r","bio_1","bio_12","human_mod","total_road_length","road_density","area","nightlights","elev","UWIN.Code","Notes","ndvi"
"26",26,"Corica Park Golf Course",116156.33,44.74,40.604047,3404.97971,1274.42127,1,70,15.5,1243.67308,848.98074,394.6923358,1374,26,"Urban and Built-up",14.16408,14,14.25,100.5,0.7032094,32985.667,"0.010504463 [1/m^2]","3140157 [m^2]",11.9,1.883261,"CGCN","",0.128452435344006
"27",27,"Crown Memorial State Beach",107332.13,40.5125,41.202577,5443.72671,2341.43108,29,61,15.666667,345.99461,98.04286,247.9517537,266,27,"Urban and Built-up",8.250676,8,NA,105,NA,47100.818,"0.014999509 [1/m^2]","3140157 [m^2]",15.3,3.10919,"CMSB","",0.0843159524674905
"28",28,"Dunn Home",100616.7,34.99286,44.76746,5580.21254,2587.28681,70,58,12.5,50.57322,50.57322,0,488,28,"Urban and Built-up",16.231041,16,14.25,110.3,0.9480882,75447.736,"0.024026737 [1/m^2]","3140157 [m^2]",45,28.285749,NA,"",0.0999946303376593
"29",29,"Dwyer Home",86884.65,34.67647,27.242518,4335.17383,1849.3051,15,83,17.5,42.43473,42.43473,0,462,29,"Urban and Built-up",19.185987,19,14.15,110,0.9444691,73070.128,"0.023269575 [1/m^2]","3140157 [m^2]",56.8,5.710769,NA,"",0.076345375272493
"30",30,"Ehara-Brown Home",86953.77,39.96,37.243365,3568.29937,1512.26221,15,63,14.333333,96.22716,96.22716,0,851,30,"Urban and Built-up",13.925851,14,14.35,126.6,0.9413145,68548.574,"0.021829662 [1/m^2]","3140157 [m^2]",24.6,38.769211,NA,"Alison (Hoover)",0.11544997518596
"31",31,"Emerson Home",121205.69,41.48966,52.34439,7950.39761,4531.51222,69,83,15.333333,40.43075,40.43075,0,782,31,"Urban and Built-up",17.183567,17,14.25,107.8,0.9382673,66068.542,"0.021039883 [1/m^2]","3140157 [m^2]",33.6,46.808365,NA,"",0.12762548819414
"32",32,"Estien Home",96196.04,35.52759,45.768913,6568.41289,2764.15953,34,56,13.333333,21.67388,21.67388,0,343,32,"Urban and Built-up",16.066381,16,14.35,113.5,0.9451898,64832.058,"0.020646117 [1/m^2]","3140157 [m^2]",34.7,32.815514,NA,"",0.121450053461286
"33",33,"Fahrer Home",157676.86,46.1875,67.018366,1412.11325,581.21986,1,NA,6.666667,634.00893,634.00893,0,1111,33,"Urban and Built-up",NA,NA,14.65,83.5,0.8311743,30084.109,"0.009580446 [1/m^2]","3140157 [m^2]",9.8,72.928734,NA,"",0.215890291214393
"34",34,"Foothill Lot",115606.67,29.02,50.492139,12017.10512,3098.57357,15,8,13.5,419.89406,419.89406,0,253,34,"Urban and Built-up",11,11,13.95,123.8,0.7160372,41656.221,"0.013265648 [1/m^2]","3140157 [m^2]",26.6,201.308212,"FL","",0.21017457678378
"35",35,"Fortmann Home",178285.25,46.03125,59.705033,3304.34176,1445.57137,24,56,13.166667,39.64596,39.64596,0,440,35,"Urban and Built-up",19.916107,20,14.15,108.8,0.8445918,45282.295,"0.014420390 [1/m^2]","3140157 [m^2]",20.4,92.77668,"LFH","",0.205729751288748
"36",36,"Frey Home",105972.38,43.32778,45.418035,3899.9665,1594.63398,54,48,16.166667,71.49641,71.49641,0,562,36,"Urban and Built-up",17.280157,17,14.25,99.8,0.8775038,58960.055,"0.018776146 [1/m^2]","3140157 [m^2]",15.3,6.159025,NA,"",0.0979999297816492
"37",37,"Fuller Home",168084.67,46.24667,58.440006,2418.25884,1015.99341,20,44,12,146.5985,146.5985,0,595,37,"Urban and Built-up",20.297924,20,13.95,112.4,0.783231,45129.677,"0.014371788 [1/m^2]","3140157 [m^2]",9.8,224.944031,NA,"",0.230164685690568
"38",38,"Getz Home",117701,38.06316,55.762857,6512.74627,3041.4627,36,36,15.333333,45.22548,45.22548,0,280,38,"Urban and Built-up",15.632812,16,14.15,122.7,0.8247009,55245.275,"0.017593155 [1/m^2]","3140157 [m^2]",11.3,141.421082,NA,"",0.19162600913803
"39",39,"Gunther-Murphy Home",152301.53,43.89412,60.018488,6050.43947,3342.16839,21,52,14.833333,112.51921,112.51921,0,775,39,"Urban and Built-up",17.543293,18,14.25,110.8,0.9084806,44957.015,"0.014316803 [1/m^2]","3140157 [m^2]",12.3,39.203571,NA,"",0.18895483224195
"40",40,"Hamilton Home",155328.33,46.9,51.529428,1227.56624,349.0061,1,16,6.833333,853.34305,853.34305,0,1102,40,"Urban and Built-up",28,28,14.15,102.6,0.5942307,12640.25,"0.004025356 [1/m^2]","3140157 [m^2]",3.6,209.684738,NA,"",0.325749534864485
"41",41,"Harley Home",179882.33,42.69167,65.887878,3225.5062,1467.00343,33,37,14.5,121.63745,121.63745,0,607,41,"Urban and Built-up",7.791925,8,14.15,113.3,0.8454198,45965.523,"0.014637968 [1/m^2]","3140157 [m^2]",10,94.652878,NA,"",0.205631777555885
"42",42,"Herman Home",91518.87,35.86875,46.491067,6857.7863,2937.58228,27,51,14.833333,49.45879,49.45879,0,599,42,"Urban and Built-up",6.327004,6,14.35,113.5,0.940095,63051.001,"0.020078930 [1/m^2]","3140157 [m^2]",30.9,32.139915,NA,"",0.126894101067832
"43",43,"Hilltop Lake Park",81778.82,37.04167,11.151022,2977.29716,1226.76683,9,9,16,173.45728,167.07716,6.380122,160,43,"Urban and Built-up",10.017038,10,14.45,129,0.8681665,41114.035,"0.013092986 [1/m^2]","3140157 [m^2]",38.8,28.595963,"HLP","",0.141676949274599
"44",44,"Hirooka Home",200765.3,47.85,63.816388,1640.10216,622.49305,22,2,8.833333,787.41034,787.41034,0,705,44,"Urban and Built-up",19.471203,19,13.95,115.5,0.7718449,50252.223,"0.016003091 [1/m^2]","3140157 [m^2]",12.4,195.012558,NA,"",0.249569052444455
"45",45,"Hoover Home",143363.06,45.29412,56.747188,3768.78286,1598.16067,4,60,14.833333,87.09583,87.09583,0,452,45,"Urban and Built-up",8.958437,9,14.25,126.9,0.8770081,46321.467,"0.014751320 [1/m^2]","3140157 [m^2]",10.2,43.917702,NA,"",0.177711037053578
"46",46,"Huckleberry Botanic Regional Preserve",200198.25,43.8875,62.530001,1185.49305,453.55756,1,0,11.5,2958.76972,2958.28367,0.4860457,961,46,"Temperate or Subpolar Needleaf Forest",7.120765,7,13.45,126.5,0.6457288,21757.996,"0.006928951 [1/m^2]","3140157 [m^2]",3.2,394.751373,"HBRP","",0.292001843816029
"47",47,"Huntsinger Home",124617.33,45.43077,44.712823,2594.83829,1127.1018,1,0,11.333333,109.0393,109.0393,0,389,47,"Urban and Built-up",6.966621,7,14.05,131.5,0.8314691,38430.87,"0.012238517 [1/m^2]","3140157 [m^2]",7.8,146.455444,"LHH","IOR (2)",0.208857222027556
"48",48,"Jean Sweeney Park",107793.4,38.72353,44.701146,4345.75782,1901.79554,4,75,12.833333,52.16899,52.16899,0,516,48,"Urban and Built-up",10.303386,10,14.25,103.4,0.849295,45154.732,"0.014379767 [1/m^2]","3140157 [m^2]",25.6,3.927248,"JSP","",0.0834900350808755
"49",49,"John Herbert Davis Park",62940.35,33.91176,5.725945,5519.76378,1593.14623,1,25,15.666667,104.21986,104.21986,0,856,49,"Urban and Built-up",7.635078,8,14.35,129,0.9124587,46696.09,"0.014870621 [1/m^2]","3140157 [m^2]",26.6,12.734911,NA,"",0.111831413510046
"50",50,"Johns Home",188823.17,44.5,61.114733,1956.36877,745.58437,1,5,5.833333,335.22945,335.22945,0,904,50,"Urban and Built-up",10.107429,10,13.75,122.7,0.7786648,37089.343,"0.011811301 [1/m^2]","3140157 [m^2]",5.3,296.90506,NA,"Wilson Sherman #1 (LOUISE)",0.259136864558064
"51",51,"Kennedy Grove ",138785.5,44.7,36.894653,136.39857,55.69409,1,0,4,17980.33701,16534.83413,1445.502877,977,51,"Mixed Forest",10.909314,11,14.45,137.6,0.5176917,14851.634,"0.004729583 [1/m^2]","3140157 [m^2]",3.1,65.206192,"KG","",0.289463760209321
"52",52,"Lake Chabot Valley",151324,42.97143,44.068962,1343.92929,448.39096,4,2,6.333333,638.25683,519.19071,119.0661234,622,52,"Urban and Built-up",7,7,14.15,100.5,0.7626979,18728.599,"0.005964223 [1/m^2]","3140157 [m^2]",4.5,144.15126,NA,"",0.221624593827404
"53",53,"Lake Chabot Dumpster",151324,42.97143,44.068962,1343.92929,448.39096,4,5,6.333333,638.25683,519.19071,119.0661234,622,53,"Urban and Built-up",12.915248,13,14.15,100.5,0.7626979,18723.825,"0.005962703 [1/m^2]","3140157 [m^2]",4.5,153.385361,NA,"",0.220995595360436
"54",54,"Lawrence Hall of Science",154284.62,40.48889,60.818122,3782.48151,1413.5652,1,59,13.5,419.89406,419.89406,0,253,54,"Urban and Built-up",16.927391,17,13.65,127.5,0.6855775,34136.686,"0.010871011 [1/m^2]","3140157 [m^2]",27.4,331.189026,"LHS","",0.237245455370129
"55",55,"Leadingham Home",94391.38,35.47407,39.119913,5811.03125,2585.3668,24,59,15,52.1554,52.1554,0,627,55,"Urban and Built-up",15.061671,15,14.25,111.9,0.9237932,70555.315,"0.022468719 [1/m^2]","3140157 [m^2]",33.3,13.611608,NA,"",0.0949541966135253
"56",56,"Lerman Home",129932.78,46.34,38.39894,1875.52891,750.07993,1,44,11,289.49717,289.49717,0,844,56,"Urban and Built-up",10.91583,11,14.25,98.3,0.6939833,32163.031,"0.010242490 [1/m^2]","3140157 [m^2]",6.8,131.452301,NA,"",0.202933917031511
"57",57,"Lim Home",86906.35,36.80882,43.138617,7336.37491,4044.09874,76,70,16.166667,50.98142,50.98142,0,602,57,"Urban and Built-up",18.654016,19,14.25,107.4,0.9602263,87689.486,"0.027925188 [1/m^2]","3140157 [m^2]",66.4,22.115946,NA,"",0.0888314646805416
"58",58,"Maness Home",81936.52,36.2069,20.661966,6001.9727,2136.45273,25,56,14.166667,45.73475,45.73475,0,561,58,"Urban and Built-up",26.692783,27,14.25,103.2,0.924122,64138.973,"0.020425401 [1/m^2]","3140157 [m^2]",27.8,46.701004,NA,"IOR",0.117418480695946
"59",59,"Marcus Home",80097.82,36.41667,10.994116,3165.32243,1262.71207,1,57,18.166667,254.43615,254.43615,0,754,59,"Urban and Built-up",27.922117,28,14.45,128.8,0.8922956,42286.666,"0.013466416 [1/m^2]","3140157 [m^2]",29,59.779465,NA,"",0.154780074709254
"60",60,"Marina Bay Park",90797.33,38.675,29.53257,1024.58978,464.97472,10,8,14.666667,1878.53204,490.08776,1388.4442747,1722,60,"Urban and Built-up",9.940832,10,14.25,127.8,0.8835016,38774.434,"0.012347927 [1/m^2]","3140157 [m^2]",49.5,4.697937,"MBP","",0.084936698960442
"61",61,"Mason Home",118221.74,43.38696,42.417409,4748.26204,2027.6277,56,66,17,59.08581,59.08581,0,612,61,"Urban and Built-up",16.610765,17,14.25,106.3,0.94019,59868.682,"0.019065504 [1/m^2]","3140157 [m^2]",36.9,69.803368,"BMH","Retired from UWIN",0.141793072709619
"62",62,"McKinley Park",94692.57,38.06818,40.339487,5153.33659,2244.10885,95,10,15.166667,62.48245,62.48245,0,877,62,"Urban and Built-up",8.341983,8,14.25,101.5,0.9327912,62719.082,"0.019973229 [1/m^2]","3140157 [m^2]",35.8,6.885224,NA,"Failed site",0.071614281057776
"63",63,"McLaughlin Eastshore State Park",111552,37.68,39.202663,3601.50162,1502.551,30,25,19.5,2268.67823,819.59388,1449.0843444,556,63,"Urban and Built-up",7,7,14.35,118.5,0.7771728,44863.34,"0.014286972 [1/m^2]","3140157 [m^2]",31.6,4.7282,"MESP","",0.077724909767337
"64",64,"Merrill Home",196298.44,44.94444,62.895928,2137.00737,816.6154,1,78,15.5,102.34833,102.34833,0,543,64,"Urban and Built-up",13.608189,14,14.15,113.3,0.8678396,36156.051,"0.011514089 [1/m^2]","3140157 [m^2]",9.8,118.528542,NA,"IOR",0.222262644628963
"65",65,"Metropolitan Golf Links",75119.67,33.6,8.970236,491.8576,117.76054,1,78,3.666667,3284.54562,2631.95031,652.5953007,0,65,"Urban and Built-up",8.016009,8,14.35,97.6,0.8116607,22178.612,"0.007062898 [1/m^2]","3140157 [m^2]",30.4,6.178803,NA,"",0.123084064368382
"66",66,"Middleton Home",125196.67,40.37083,59.92537,5780.57046,2608.93806,29,28,17,71.2246,71.2246,0,618,66,"Urban and Built-up",10.204949,10,14.15,122.7,0.9163658,56910.559,"0.018123473 [1/m^2]","3140157 [m^2]",16.7,95.295921,NA,"",0.188208613199257
