"","X","Name","mean_income","mean_age","mean_percent_white","mean_pop_density","mean_housing_density","restaurant_count","imp_surf","NatWalkInd","Ac_Total","Ac_Land","Ac_Water","Workers","CEC_mal_class_en.ID","CEC_mal_class_en.Class_EN","osm_landcov_fusion","osm_landcov_fusion_r","bio_1","bio_12","human_mod","total_road_length","road_density","area","nightlights","elev","UWIN.Code","Notes","ndvi"
"86",86,"Point Pinole East",72401,36.8,14.142206,1506.45842,174.06602,1,0,11,3721.22518,2459.36381,1261.8613693,2692,86,"Urban and Built-up",28,28,NA,129.6,NA,14187.166,"0.004517979 [1/m^2]","3140157 [m^2]",28.6,11.552063,"PPE","",0.166842054373189
"87",87,"Point Pinole South",72401,36.8,14.142206,1506.45842,174.06602,1,17,11,3721.22518,2459.36381,1261.8613693,2692,87,"Urban and Built-up",11.156846,11,NA,129.5,NA,17569.765,"0.005595186 [1/m^2]","3140157 [m^2]",21.7,11.646226,"PPS","",0.152555755204244
"88",88,"Point Pinole West",60100,38,3.421462,153.46313,52.04958,1,NA,11,3721.22518,2459.36381,1261.8613693,2692,88,"Mixed Forest",10.956166,11,NA,130.5,NA,10719.333,"0.003413629 [1/m^2]","3140157 [m^2]",1,14.612389,"PPW","",0.101708727640534
"89",89,"Rifle Range Road Trailhead",127837.14,47.05714,45.532025,1076.9383,529.31342,1,0,10.5,2208.27241,2208.27241,0,966,89,"Mixed Forest",11,11,14.15,134.4,0.5528385,20037.182,"0.006380948 [1/m^2]","3140157 [m^2]",3.4,168.426529,"RRR","",0.280251292737293
"90",90,"Roberts Regional-Graham Trail",165250.67,48.43333,58.421371,712.65968,269.68102,1,0,5.5,20001.5525,19136.57573,864.9767623,1180,90,"Mixed Forest",11.172275,11,13.55,120.2,0.6119939,11544.213,"0.003676317 [1/m^2]","3140157 [m^2]",1.8,398.629303,"RR-GT","",0.310442847127436
"91",91,"Rokoff Home",78903,36.256,17.047854,6215.31506,2161.93824,1,74,13.333333,51.7546,51.7546,0,502,91,"Urban and Built-up",18.571098,19,14.25,101.5,0.9337794,58251.587,"0.018550531 [1/m^2]","3140157 [m^2]",26.8,52.360802,NA,"",0.117113630617302
"92",92,"Scharnagl Home",203563.54,43.83077,62.768835,2037.56997,735.80159,15,33,10.5,270.0971,268.82676,1.2703411,872,92,"Urban and Built-up",19.423237,19,13.95,114.4,0.8306564,52104.839,"0.016593066 [1/m^2]","3140157 [m^2]",10.3,220.687149,"ASH","Retired from UWIN",0.224854507594888
"93",93,"Schell Home",105837,45.53,31.729215,1897.11866,687.65868,1,61,12.333333,224.40288,224.40288,0,716,93,"Urban and Built-up",28,28,14.45,134.5,0.869122,32462.966,"0.010338006 [1/m^2]","3140157 [m^2]",11.3,56.342907,"CSH","",0.199956393393609
"94",94,"Scott Home",175168.57,51.91429,68.608544,2595.64996,1095.61411,1,17,13.166667,76.9976,76.9976,0,350,94,"Urban and Built-up",11.973475,12,14.15,128.7,0.8539677,49519.036,"0.015769603 [1/m^2]","3140157 [m^2]",7.5,164.162476,NA,"",0.212923185754567
"95",95,"Shannon Home",72917.36,38.14615,29.787866,3510.07894,1471.73175,9,58,12.333333,156.67647,156.67647,0,1126,95,"Urban and Built-up",11.558673,12,14.35,126.5,0.9413145,60816.533,"0.019367352 [1/m^2]","3140157 [m^2]",21.4,14.835136,NA,"",0.116856895913691
"96",96,"Sherman Home",183497.33,50.48333,70.463842,2425.14035,997.60789,1,61,14,164.06674,164.06674,0,527,96,"Urban and Built-up",11.082282,11,13.75,131.4,0.777414,43526.636,"0.013861291 [1/m^2]","3140157 [m^2]",4.9,313.578857,NA,"Wilson Sherman #2",0.254047677555277
