Date,daily_visits,Name
6/14/22,2732,Ahern.Home
6/15/22,3175,Ahern.Home
6/16/22,3060,Ahern.Home
6/17/22,2065,Ahern.Home
6/18/22,2455,Ahern.Home
6/19/22,2209,Ahern.Home
6/20/22,2291,Ahern.Home
6/21/22,2822,Ahern.Home
6/22/22,2795,Ahern.Home
6/23/22,2737,Ahern.Home
6/24/22,3064,Ahern.Home
6/25/22,3310,Ahern.Home
6/26/22,1639,Ahern.Home
6/27/22,2769,Ahern.Home
6/28/22,2639,Ahern.Home
6/29/22,2873,Ahern.Home
6/30/22,2902,Ahern.Home
7/1/22,3003,Ahern.Home
7/2/22,2284,Ahern.Home
7/3/22,2133,Ahern.Home
7/4/22,2963,Ahern.Home
7/5/22,2638,Ahern.Home
7/6/22,3248,Ahern.Home
7/7/22,3017,Ahern.Home
7/8/22,3254,Ahern.Home
7/9/22,2184,Ahern.Home
7/10/22,2196,Ahern.Home
7/11/22,2858,Ahern.Home
7/12/22,3046,Ahern.Home
7/13/22,3501,Ahern.Home
7/14/22,4029,Ahern.Home
7/15/22,3209,Ahern.Home
7/16/22,2774,Ahern.Home
7/17/22,3402,Ahern.Home
7/18/22,3179,Ahern.Home
7/19/22,4193,Ahern.Home
7/20/22,3613,Ahern.Home
7/21/22,4128,Ahern.Home
7/22/22,3973,Ahern.Home
7/23/22,3318,Ahern.Home
7/24/22,2701,Ahern.Home
7/25/22,3951,Ahern.Home
7/26/22,3517,Ahern.Home
7/27/22,3044,Ahern.Home
7/28/22,3074,Ahern.Home
7/29/22,2806,Ahern.Home
7/30/22,3349,Ahern.Home
7/31/22,2253,Ahern.Home
8/1/22,3595,Ahern.Home
8/2/22,2203,Ahern.Home
8/3/22,3144,Ahern.Home
8/4/22,3328,Ahern.Home
8/5/22,3885,Ahern.Home
8/6/22,2891,Ahern.Home
8/7/22,3119,Ahern.Home
8/8/22,4397,Ahern.Home
8/9/22,4064,Ahern.Home
8/10/22,3180,Ahern.Home
8/11/22,3716,Ahern.Home
8/12/22,3548,Ahern.Home
8/13/22,2900,Ahern.Home
8/14/22,3180,Ahern.Home
8/15/22,3400,Ahern.Home
8/16/22,3419,Ahern.Home
8/17/22,3469,Ahern.Home
8/18/22,3498,Ahern.Home
8/19/22,3661,Ahern.Home
8/20/22,4189,Ahern.Home
8/21/22,3009,Ahern.Home
8/22/22,3565,Ahern.Home
8/23/22,5070,Ahern.Home
