"","Name","mean_income","mean_age","mean_percent_white","mean_pop_density","mean_housing_density","restaurant_count","imp_surf","NatWalkInd","Ac_Total","Ac_Land","Ac_Water","Workers","CEC_mal_class_en.ID","CEC_mal_class_en.Class_EN","osm_landcov_fusion","osm_landcov_fusion_r","bio_1","bio_12","human_mod","total_road_length","road_density","area"
"94","Scott Home",175168.57,51.91429,68.608544, 2595.64996,1095.61411,  1, 17,13.166667,   76.99760,   76.99760,   0.0000000, 350, 94,Urban and Built-up,11.973475,12,14.15,128.7,0.8539677,49519.036,0.015769603 [1/m^2],3140157 [m^2]
"95","Shannon Home", 72917.36,38.14615,29.787866, 3510.07894,1471.73175,  9, 58,12.333333,  156.67647,  156.67647,   0.0000000,1126, 95,Urban and Built-up,11.558673,12,14.35,126.5,0.9413145,60816.533,0.019367352 [1/m^2],3140157 [m^2]
"96","Sherman Home",183497.33,50.48333,70.463842, 2425.14035, 997.60789,  1, 61,14.000000,  164.06674,  164.06674,   0.0000000, 527, 96,Urban and Built-up,11.082282,11,13.75,131.4,0.7774140,43526.636,0.013861291 [1/m^2],3140157 [m^2]
"97","Sherrer Home",142621.57,45.57143,36.439300, 3580.60721,1238.20010,  3, 34,17.666667,  211.53267,  211.53267,   0.0000000,1288, 97,Urban and Built-up,13.671397,14,NA,101.5,NA,46572.735,0.014831338 [1/m^2],3140157 [m^2]
"98","Shunick Home",207817.08,45.43077,62.277707, 2211.86108, 790.98596,  1, 51,12.666667,  465.35528,  465.35528,   0.0000000, 590, 98,Urban and Built-up,23.516176,24,14.05,115.2,0.7940146,44008.941,0.014014884 [1/m^2],3140157 [m^2]
"99","Sibley Volcanic Regional Preserve",201301.29,44.40000,59.967523,  978.63736, 480.99861,  1,  0,11.500000, 2958.76972, 2958.28367,   0.4860457, 961, 99,Mixed Forest,11.000922,11,13.55,127.4,0.5901322,16705.895,0.005320082 [1/m^2],3140157 [m^2]
"100","Skyline Gate Staging Area",184386.75,47.37500,66.094038, 1269.84665, 491.32933,  1,  0, 7.833333, 3409.69361, 3409.69361,   0.0000000,1153,100,Mixed Forest,11.000000,11,13.55,123.0,0.6052942,25737.081,0.008196112 [1/m^2],3140157 [m^2]
"101","Sobrante Ridge Regional Preserve",137394.50,47.85000,37.116524,  605.18521, 208.99400,  1,  0, 9.833333,  943.03985,  943.03985,   0.0000000, 863,101,Mixed Forest,10.790854,11,14.25,132.8,0.6179470,12485.129,0.003975957 [1/m^2],3140157 [m^2]
"102","Squire Home",146772.96,43.07500,48.254011, 4583.96562,2014.49081, 31, 21,14.166667,   64.70338,   64.70338,   0.0000000, 690,102,Urban and Built-up,17.300312,17,14.25,105.4,0.9253537,63033.023,0.020073205 [1/m^2],3140157 [m^2]
"103","Sunset View Cemetery",150273.50,47.88889,60.680547, 3152.91799,1355.52717,  3, 22,11.833333,  228.89145,  228.89145,   0.0000000, 890,103,Urban and Built-up, 7.243420, 7,14.25,126.9,0.8770081,46198.713,0.014712229 [1/m^2],3140157 [m^2]
"104","Tarvin Home",124571.60,44.53125,42.816926, 2351.95369, 974.31171,  1, 50,13.333333,   81.60082,   81.60082,   0.0000000, 613,104,Urban and Built-up,18.374306,18,14.15,131.0,0.9128890,48193.271,0.015347406 [1/m^2],3140157 [m^2]
"105","Temescal Regional Recreation Area",197825.82,47.98182,63.406278, 1812.35914, 728.53524,  1,  0,11.666667,  251.23299,  244.98828,   6.2447112, 616,105,Mixed Forest,16.245832,16,14.05,118.1,0.8785850,55155.983,0.017564719 [1/m^2],3140157 [m^2]
"106","The Dog Social Club Cooperative", 84869.40,35.05500,26.624648, 4316.59593,1843.56624, 15,100,17.333333,  179.01851,  179.01851,   0.0000000,1039,106,Urban and Built-up,19.342613,19,14.15,108.7,0.9513558,73725.339,0.023478231 [1/m^2],3140157 [m^2]
"107","Tilden Nature Area-Jewel Lake",171402.67,50.67778,62.385178, 2096.16836, 859.84064,  1,  0, 4.000000,17980.33701,16534.83413,1445.5028770, 977,107,Mixed Forest,12.280521,12,13.95,133.4,0.5237115,19513.759,0.006214261 [1/m^2],3140157 [m^2]
"108","Tilden Nature Area-Loop Road Parking",186773.00,52.87778,67.043588, 2088.21022, 877.41805,  1,  0, 4.000000,17980.33701,16534.83413,1445.5028770, 977,108,Mixed Forest,11.356685,11,13.95,132.4,0.5063910,28192.704,0.008978118 [1/m^2],3140157 [m^2]
"109","Tilden Regional Park-Arroyo Pkwy",194695.00,49.63333,60.837397,  162.46735,  65.01340,  1,  0, 6.500000, 3400.49556, 3400.49556,   0.0000000, 875,109,Mixed Forest,18.133219,18,13.55,132.5,0.4536870, 8351.708,0.002659646 [1/m^2],3140157 [m^2]
"110","Tilden Regional Park-Lake Anza",186091.62,50.32500,69.088515, 1870.92576, 772.81648,  1,  0, 4.000000,17980.33701,16534.83413,1445.5028770, 977,110,Temperate or Subpolar Needleaf Forest,11.412156,11,13.75,133.1,0.4831218,25270.384,0.008047490 [1/m^2],3140157 [m^2]
"111","Tilden Regional Park-Nimitz Way",184792.50,49.25000,58.919595,   95.26131,  34.86866,  1,  0, 4.000000,17980.33701,16534.83413,1445.5028770, 977,111,Temperate or Subpolar Needleaf Forest,10.999864,11,13.75,134.9,0.3916713,15577.560,0.004960758 [1/m^2],3140157 [m^2]
"112","Tilden Regional Park-Seaview Trail",202413.50,48.90000,66.452946,  231.00674,  92.71561,  1,  0, 6.500000, 3400.49556, 3400.49556,   0.0000000, 875,112,Temperate or Subpolar Shrubland, 7.068204, 7,13.25,132.7,0.4718833,11265.593,0.003587589 [1/m^2],3140157 [m^2]
"113","Tudor Home",218209.83,48.88333,64.602595,  733.37986, 276.97676,  5,  4, 8.833333,  369.88251,  369.88251,   0.0000000, 468,113,Urban and Built-up,26.406750,26,14.05,123.9,0.6867517,23098.630,0.007355883 [1/m^2],3140157 [m^2]
"114","UC Gill Tract",110533.35,38.75238,46.768542, 5849.13096,2266.49414, 48, 62,17.833333,  677.36757,  273.90244, 403.4651271, 798,114,Urban and Built-up,20.002949,20,14.35,121.2,0.9222558,63131.520,0.020104572 [1/m^2],3140157 [m^2]
"115","UCB Women's Faculty Club", 82355.07,28.20455,44.622769,13532.76468,4175.29193, 54, 21,13.500000,  419.89406,  419.89406,   0.0000000, 253,115,Urban and Built-up,15.060704,15,14.15,121.5,0.8745778,52312.901,0.016659325 [1/m^2],3140157 [m^2]
"116","University Village Community Garden", 97309.15,35.98571,40.763086, 6288.06648,2444.34738, 23,  6,17.833333,  677.36757,  273.90244, 403.4651271, 798,116,Urban and Built-up, 8.000000, 8,14.35,121.5,0.8233916,53706.294,0.017103058 [1/m^2],3140157 [m^2]
"117","Urban Tilth's Edible Forest", 59644.25,32.52222, 6.243992, 4933.35332,1601.06940,  4, 47,16.000000,  103.02513,  103.02513,   0.0000000, 563,117,Urban and Built-up,13.164504,13,14.25,129.0,0.9384029,62923.971,0.020038477 [1/m^2],3140157 [m^2]
"118","Wakefield Home",104946.88,43.21765,46.909977, 4471.54868,1835.92275, 69, 50,16.166667,   71.49641,   71.49641,   0.0000000, 562,118,Urban and Built-up,16.024269,16,14.25,100.5,0.8775038,68960.602,0.021960875 [1/m^2],3140157 [m^2]
"119","Wildcat Canyon Regional Park", 95009.00,42.31667,31.304837, 2843.62913,1088.40008, 10,  0, 9.666667,  120.46001,  120.46001,   0.0000000, 441,119,Urban and Built-up,11.000000,11,14.25,130.6,0.6987523,45586.449,0.014517250 [1/m^2],3140157 [m^2]
"120","Wildcat Marsh Staging Area", 68918.60,36.56000,13.486490, 1737.38296, 489.42924,  1, 60,11.500000, 1552.73266, 1213.84416, 338.8885073, 874,120,Urban and Built-up,28.000000,28,14.35,132.5,0.8486751,27898.737,0.008884503 [1/m^2],3140157 [m^2]
"121","Wilkinson Home", 99910.57,36.54348,40.237400, 4864.34423,2367.35461, 48, 60,18.500000,   55.74230,   55.74230,   0.0000000, 660,121,Urban and Built-up,11.604665,12,14.25,112.6,0.9292126,65853.278,0.020971330 [1/m^2],3140157 [m^2]
"122","Williams Home", 88083.37,35.97000,50.905999, 7186.76740,3395.91650,100, 50,16.166667,   40.22343,   40.22343,   0.0000000, 538,122,Urban and Built-up,12.378024,12,14.25,120.9,0.9400609,65448.977,0.020842579 [1/m^2],3140157 [m^2]
"123","Wolff Home",123975.50,42.50000,30.103091, 1311.09243, 557.04896,  1, 22, 6.166667,  757.19520,  757.19520,   0.0000000,1489,123,Urban and Built-up,25.198904,25,14.15,104.2,0.7571810,44816.778,0.014272144 [1/m^2],3140157 [m^2]
"124","YES Nature to Neighborhoods", 73171.22,36.04737,12.256468, 4820.06082,1567.93565,  1, 75,14.000000,   53.42178,   53.42178,   0.0000000, 545,124,Urban and Built-up,12.342767,12,14.35,128.4,0.9387203,56830.196,0.018097881 [1/m^2],3140157 [m^2]
