"","Name","UWIN.Code","Start.Date","End.Date","Num.Days","Notes","states_abbrev","mean_income","mean_age","mean_percent_white","mean_pop_density","mean_housing_density","mean_daily_visits","median_daily_visits","mean_weekday_visits","mean_weekend_visits","restaurant_count","total_road_length","road_density","road_area","distance_to_road","imp_surf","ndvi","elev","nightlight_avg","nldc_landcover","bio_1","bio_12","human_mod","NatWalkInd","Ac_Total","Ac_Land","Ac_Water","Workers","dist2nearest_camera","buffer_size","X","BURDEN_RESCALED_AV_PCT","BURDEN_RESCALED_MAX_PCT","MAX_POLL_RAW","MEAN_POLL_RAW","OGBURDEN_AV","OGBURDEN_MAX","geometry"
"1","Ahern Home",NA,"01/25/2023","02/01/2023",7,"IOR","CA",179060.5,41.35,63.7734562761709,2050.70866988506,783.184668105247,3378,3316.5,3549.83333333333,2862.5,1,2595.32964317969,0.0132239468719168,196259.835911114,245.684782802612,10.7747747747748,0.276450459850518,212.705532871725,2.12816083914941,"Urban and Built-up",13.9499998092651,119.5,0.741942604382833,5.83333333333333,335.2294505,335.2294505,0,904,476.719897963641,250,1,5.691056911,7.317073171,34.38327414,23.96526226,12.19512195,19.51219512,c(-122.210054, 37.838156)
"2","Ahern Home",NA,"01/25/2023","02/01/2023",7,"IOR","CA",179060.5,41.35,63.7734562761709,2050.70866988506,783.184668105247,3378,3316.5,3549.83333333333,2862.5,1,2595.32964317969,0.0132239468719168,196259.835911114,245.684782802612,10.7747747747748,0.276450459850518,212.705532871725,2.12816083914941,"Urban and Built-up",13.9499998092651,119.5,0.741942604382833,11,168.1078133,168.1078133,0,690,476.719897963641,250,1,5.691056911,7.317073171,34.38327414,23.96526226,12.19512195,19.51219512,c(-122.210054, 37.838156)
"3","Ahern Home",NA,"01/25/2023","02/01/2023",7,"IOR","CA",179060.5,41.35,63.7734562761709,2050.70866988506,783.184668105247,3378,3316.5,3549.83333333333,2862.5,1,2595.32964317969,0.0132239468719168,196259.835911114,245.684782802612,10.7747747747748,0.276450459850518,212.705532871725,2.12816083914941,"Urban and Built-up",13.9499998092651,119.5,0.741942604382833,12.3333333333333,125.670118,125.670118,0,458,476.719897963641,250,1,5.691056911,7.317073171,34.38327414,23.96526226,12.19512195,19.51219512,c(-122.210054, 37.838156)
"4","Ahern Home",NA,"01/25/2023","02/01/2023",7,"IOR","CA",179060.5,41.35,63.7734562761709,2050.70866988506,783.184668105247,3378,3316.5,3549.83333333333,2862.5,1,2595.32964317969,0.0132239468719168,196259.835911114,245.684782802612,10.7747747747748,0.276450459850518,212.705532871725,2.12816083914941,"Urban and Built-up",13.9499998092651,119.5,0.741942604382833,12.5,138.296928,138.296928,0,623,476.719897963641,250,1,5.691056911,7.317073171,34.38327414,23.96526226,12.19512195,19.51219512,c(-122.210054, 37.838156)
"5","Albany Waterfront Trail-Albany Bulb","AWT-AB","11/29/2023","12/13/2023",14,"","CA",105871,34.1,36.4338193452117,669.41837526182,283.467221667584,7833.2,7103,6862.90909090909,10501.5,1,497.670976699333,0.00253577597468543,196259.835911203,29.2830604858375,33.9128440366973,0.101641100990938,3.23593991769083,2.48882713691629,"Urban and Built-up",14.3500003814697,122.9,0.740065306425095,12.5,433.4588664,159.3555313,274.1033351,360,908.651382165591,250,2,89.43089431,90.24390244,60.13210098,52.56645591,88.61788618,83.7398374,c(-122.312563, 37.889749)
"6","Albany Waterfront Trail-Albany Bulb","AWT-AB","11/29/2023","12/13/2023",14,"","CA",105871,34.1,36.4338193452117,669.41837526182,283.467221667584,7833.2,7103,6862.90909090909,10501.5,1,497.670976699333,0.00253577597468543,196259.835911203,29.2830604858375,33.9128440366973,0.101641100990938,3.23593991769083,2.48882713691629,"Urban and Built-up",14.3500003814697,122.9,0.740065306425095,17.8333333333333,677.3675699,273.9024428,403.4651271,798,908.651382165591,250,2,89.43089431,90.24390244,60.13210098,52.56645591,88.61788618,83.7398374,c(-122.312563, 37.889749)
"7","Albe Home",NA,"11/21/2022","12/06/2022",15,"IOR","CA",112471.666666667,47.6,44.2918363608019,2482.09024960177,1013.58230144135,8375.125,8460,8073,9281.5,1,3473.19131095789,0.0176969031632819,196259.835910962,241.280063776794,60.7194570135747,0.143488076162185,46.2050878266643,2.76170764425808,"Urban and Built-up",14.3500003814697,129.85,0.901531100273132,14.3333333333333,110.7437954,110.7437954,0,605,581.992202196402,250,3,92.68292683,96.74796748,46.27273619,38.10089326,57.72357724,54.47154472,c(-122.3209, 37.942801)
"8","Albe Home",NA,"11/21/2022","12/06/2022",15,"IOR","CA",112471.666666667,47.6,44.2918363608019,2482.09024960177,1013.58230144135,8375.125,8460,8073,9281.5,1,3473.19131095789,0.0176969031632819,196259.835910962,241.280063776794,60.7194570135747,0.143488076162185,46.2050878266643,2.76170764425808,"Urban and Built-up",14.3500003814697,129.85,0.901531100273132,13.1666666666667,119.9981846,119.9981846,0,824,581.992202196402,250,3,92.68292683,96.74796748,46.27273619,38.10089326,57.72357724,54.47154472,c(-122.3209, 37.942801)
"9","Albe Home",NA,"11/21/2022","12/06/2022",15,"IOR","CA",112471.666666667,47.6,44.2918363608019,2482.09024960177,1013.58230144135,8375.125,8460,8073,9281.5,1,3473.19131095789,0.0176969031632819,196259.835910962,241.280063776794,60.7194570135747,0.143488076162185,46.2050878266643,2.76170764425808,"Urban and Built-up",14.3500003814697,129.85,0.901531100273132,13.8333333333333,50.8121614,50.8121614,0,399,581.992202196402,250,3,92.68292683,96.74796748,46.27273619,38.10089326,57.72357724,54.47154472,c(-122.3209, 37.942801)
"10","Alexander Home",NA,"01/27/2023","02/03/2023",7,"Sarah (Alison + Hoover) Home","CA",115823.6,44.76,43.6523974115658,2926.7402637518,1233.45107399968,21409.875,21412.5,21328.1666666667,21655,1,4785.33781830479,0.0243826649303514,196259.835911046,149.184301082836,63.6473214285714,0.13129191529951,34.6150182723999,3.27100836282563,"Urban and Built-up",14.3500003814697,129.15,0.927062287926674,18.3333333333333,76.1305216,76.1305216,0,399,488.521859577132,250,4,91.8699187,91.8699187,56.59650758,41.71351875,69.10569106,77.23577236,c(-122.32046, 37.933188)
"11","Alexander Home",NA,"01/27/2023","02/03/2023",7,"Sarah (Alison + Hoover) Home","CA",115823.6,44.76,43.6523974115658,2926.7402637518,1233.45107399968,21409.875,21412.5,21328.1666666667,21655,1,4785.33781830479,0.0243826649303514,196259.835911046,149.184301082836,63.6473214285714,0.13129191529951,34.6150182723999,3.27100836282563,"Urban and Built-up",14.3500003814697,129.15,0.927062287926674,13.3333333333333,81.6008214,81.6008214,0,613,488.521859577132,250,4,91.8699187,91.8699187,56.59650758,41.71351875,69.10569106,77.23577236,c(-122.32046, 37.933188)
"12","Alexander Home",NA,"01/27/2023","02/03/2023",7,"Sarah (Alison + Hoover) Home","CA",115823.6,44.76,43.6523974115658,2926.7402637518,1233.45107399968,21409.875,21412.5,21328.1666666667,21655,1,4785.33781830479,0.0243826649303514,196259.835911046,149.184301082836,63.6473214285714,0.13129191529951,34.6150182723999,3.27100836282563,"Urban and Built-up",14.3500003814697,129.15,0.927062287926674,14.6666666666667,66.0985087,66.0985087,0,351,488.521859577132,250,4,91.8699187,91.8699187,56.59650758,41.71351875,69.10569106,77.23577236,c(-122.32046, 37.933188)
"13","Alexander Home",NA,"01/27/2023","02/03/2023",7,"Sarah (Alison + Hoover) Home","CA",115823.6,44.76,43.6523974115658,2926.7402637518,1233.45107399968,21409.875,21412.5,21328.1666666667,21655,1,4785.33781830479,0.0243826649303514,196259.835911046,149.184301082836,63.6473214285714,0.13129191529951,34.6150182723999,3.27100836282563,"Urban and Built-up",14.3500003814697,129.15,0.927062287926674,18.6666666666667,83.243048,83.243048,0,453,488.521859577132,250,4,91.8699187,91.8699187,56.59650758,41.71351875,69.10569106,77.23577236,c(-122.32046, 37.933188)
"14","Alexander Home",NA,"01/27/2023","02/03/2023",7,"Sarah (Alison + Hoover) Home","CA",115823.6,44.76,43.6523974115658,2926.7402637518,1233.45107399968,21409.875,21412.5,21328.1666666667,21655,1,4785.33781830479,0.0243826649303514,196259.835911046,149.184301082836,63.6473214285714,0.13129191529951,34.6150182723999,3.27100836282563,"Urban and Built-up",14.3500003814697,129.15,0.927062287926674,13.8333333333333,50.8121614,50.8121614,0,399,488.521859577132,250,4,91.8699187,91.8699187,56.59650758,41.71351875,69.10569106,77.23577236,c(-122.32046, 37.933188)
"15","Andrews Home",NA,"01/25/2023","02/11/2023",17,"","CA",173934,44.74,63.620351361051,4079.25551970822,1764.97253849071,9038.16666666667,8973.5,9255.69230769231,8472.6,22,3503.53731776781,0.0178515247478137,196259.835911041,223.172170187678,56.1741071428572,0.14996823058235,80.4857481898684,3.22441305050232,"Urban and Built-up",14.1999998092651,107.55,0.920411318540573,14.6666666666667,58.3934365,58.3934365,0,528,409.360657627075,250,5,54.47154472,36.58536585,35.33385722,32.95785471,37.39837398,26.01626016,c(-122.221358, 37.808965)
