"","Name","UWIN.Code","Start.Date","End.Date","Num.Days","Notes","states_abbrev","mean_income","mean_age","mean_percent_white","mean_pop_density","mean_housing_density","mean_daily_visits","median_daily_visits","mean_weekday_visits","mean_weekend_visits","restaurant_count","total_road_length","road_density","road_area","distance_to_road","imp_surf","ndvi","elev","nightlight_avg","nldc_landcover","bio_1","bio_12","human_mod","NatWalkInd","Ac_Total","Ac_Land","Ac_Water","Workers","dist2nearest_camera","buffer_size","X","BURDEN_RESCALED_AV_PCT","BURDEN_RESCALED_MAX_PCT","MAX_POLL_RAW","MEAN_POLL_RAW","OGBURDEN_AV","OGBURDEN_MAX","geometry"
"11","Albe Home",NA,"11/21/2022","12/06/2022",15,"IOR","CA",112097,45.2428571428571,41.2782149146058,3250.20939120423,1184.45021753143,8375.125,8460,8073,9281.5,1,15418.0005689791,0.0196397807241186,785039.34364425,241.280063776794,60.9367231638418,0.139213012909426,52.2924721975633,2.76820045857974,"Urban and Built-up",14.3500003814697,130.1,0.821706473827362,9.66666666666667,120.4600145,120.4600145,0,441,581.992202196402,500,3,92.68292683,96.74796748,46.27273619,38.10089326,57.72357724,54.47154472,c(-122.3209, 37.942801)
"12","Albe Home",NA,"11/21/2022","12/06/2022",15,"IOR","CA",112097,45.2428571428571,41.2782149146058,3250.20939120423,1184.45021753143,8375.125,8460,8073,9281.5,1,15418.0005689791,0.0196397807241186,785039.34364425,241.280063776794,60.9367231638418,0.139213012909426,52.2924721975633,2.76820045857974,"Urban and Built-up",14.3500003814697,130.1,0.821706473827362,13.1666666666667,119.9981846,119.9981846,0,824,581.992202196402,500,3,92.68292683,96.74796748,46.27273619,38.10089326,57.72357724,54.47154472,c(-122.3209, 37.942801)
"13","Albe Home",NA,"11/21/2022","12/06/2022",15,"IOR","CA",112097,45.2428571428571,41.2782149146058,3250.20939120423,1184.45021753143,8375.125,8460,8073,9281.5,1,15418.0005689791,0.0196397807241186,785039.34364425,241.280063776794,60.9367231638418,0.139213012909426,52.2924721975633,2.76820045857974,"Urban and Built-up",14.3500003814697,130.1,0.821706473827362,13.8333333333333,50.8121614,50.8121614,0,399,581.992202196402,500,3,92.68292683,96.74796748,46.27273619,38.10089326,57.72357724,54.47154472,c(-122.3209, 37.942801)
"14","Alexander Home",NA,"01/27/2023","02/03/2023",7,"Sarah (Alison + Hoover) Home","CA",109061,40.8111111111111,33.0006099051208,3096.82113384582,1215.87229589603,21409.875,21412.5,21328.1666666667,21655,1,18569.6925505119,0.0236544737545322,785039.343644414,125.348208824119,64.2311161217587,0.133464108751206,39.1425326441375,3.27100836282563,"Urban and Built-up",14.3500003814697,129.15,0.927062287926674,18.3333333333333,76.1305216,76.1305216,0,399,488.521859577132,500,4,91.8699187,91.8699187,56.59650758,41.71351875,69.10569106,77.23577236,c(-122.32046, 37.933188)
"15","Alexander Home",NA,"01/27/2023","02/03/2023",7,"Sarah (Alison + Hoover) Home","CA",109061,40.8111111111111,33.0006099051208,3096.82113384582,1215.87229589603,21409.875,21412.5,21328.1666666667,21655,1,18569.6925505119,0.0236544737545322,785039.343644414,125.348208824119,64.2311161217587,0.133464108751206,39.1425326441375,3.27100836282563,"Urban and Built-up",14.3500003814697,129.15,0.927062287926674,14.5,56.0064505,56.0064505,0,565,488.521859577132,500,4,91.8699187,91.8699187,56.59650758,41.71351875,69.10569106,77.23577236,c(-122.32046, 37.933188)
"16","Alexander Home",NA,"01/27/2023","02/03/2023",7,"Sarah (Alison + Hoover) Home","CA",109061,40.8111111111111,33.0006099051208,3096.82113384582,1215.87229589603,21409.875,21412.5,21328.1666666667,21655,1,18569.6925505119,0.0236544737545322,785039.343644414,125.348208824119,64.2311161217587,0.133464108751206,39.1425326441375,3.27100836282563,"Urban and Built-up",14.3500003814697,129.15,0.927062287926674,17.1666666666667,124.9038609,124.9038609,0,564,488.521859577132,500,4,91.8699187,91.8699187,56.59650758,41.71351875,69.10569106,77.23577236,c(-122.32046, 37.933188)
"17","Alexander Home",NA,"01/27/2023","02/03/2023",7,"Sarah (Alison + Hoover) Home","CA",109061,40.8111111111111,33.0006099051208,3096.82113384582,1215.87229589603,21409.875,21412.5,21328.1666666667,21655,1,18569.6925505119,0.0236544737545322,785039.343644414,125.348208824119,64.2311161217587,0.133464108751206,39.1425326441375,3.27100836282563,"Urban and Built-up",14.3500003814697,129.15,0.927062287926674,14.8333333333333,105.2764608,105.2764608,0,528,488.521859577132,500,4,91.8699187,91.8699187,56.59650758,41.71351875,69.10569106,77.23577236,c(-122.32046, 37.933188)
"18","Alexander Home",NA,"01/27/2023","02/03/2023",7,"Sarah (Alison + Hoover) Home","CA",109061,40.8111111111111,33.0006099051208,3096.82113384582,1215.87229589603,21409.875,21412.5,21328.1666666667,21655,1,18569.6925505119,0.0236544737545322,785039.343644414,125.348208824119,64.2311161217587,0.133464108751206,39.1425326441375,3.27100836282563,"Urban and Built-up",14.3500003814697,129.15,0.927062287926674,13,82.7115359,82.7115359,0,527,488.521859577132,500,4,91.8699187,91.8699187,56.59650758,41.71351875,69.10569106,77.23577236,c(-122.32046, 37.933188)
"19","Alexander Home",NA,"01/27/2023","02/03/2023",7,"Sarah (Alison + Hoover) Home","CA",109061,40.8111111111111,33.0006099051208,3096.82113384582,1215.87229589603,21409.875,21412.5,21328.1666666667,21655,1,18569.6925505119,0.0236544737545322,785039.343644414,125.348208824119,64.2311161217587,0.133464108751206,39.1425326441375,3.27100836282563,"Urban and Built-up",14.3500003814697,129.15,0.927062287926674,13.3333333333333,81.6008214,81.6008214,0,613,488.521859577132,500,4,91.8699187,91.8699187,56.59650758,41.71351875,69.10569106,77.23577236,c(-122.32046, 37.933188)
"20","Alexander Home",NA,"01/27/2023","02/03/2023",7,"Sarah (Alison + Hoover) Home","CA",109061,40.8111111111111,33.0006099051208,3096.82113384582,1215.87229589603,21409.875,21412.5,21328.1666666667,21655,1,18569.6925505119,0.0236544737545322,785039.343644414,125.348208824119,64.2311161217587,0.133464108751206,39.1425326441375,3.27100836282563,"Urban and Built-up",14.3500003814697,129.15,0.927062287926674,14.6666666666667,66.0985087,66.0985087,0,351,488.521859577132,500,4,91.8699187,91.8699187,56.59650758,41.71351875,69.10569106,77.23577236,c(-122.32046, 37.933188)
