"","Name","UWIN.Code","Notes","mean_income","mean_age","mean_percent_white","mean_pop_density","mean_housing_density","restaurant_count","imp_surf","CEC_mal_class_en","osm_landcov_fusion","osm_landcov_fusion_r","bio_1","bio_12","human_mod","geometry.x","geometry.y"
"1","Ahern Home",NA,"IOR",186489.8,44.65,62.1896866441924,1737.53707020879,684.952370709277,1,8,"Temperate or Subpolar Needleaf Forest",7.54961442947388,8,13.9499998092651,119.5,0.703989446163177,c(-122.210054, 37.838156),c(-2255932.28018994, 1957763.99962106)
"2","Albany Waterfront Trail-Albany Bulb","AWT-AB","",98920,36.7818181818182,37.9046512881422,5394.99536872865,2072.03552829417,1,49,"Urban and Built-up",7,7,14.3500003814697,122.2,0.630044221878052,c(-122.312563, 37.889749),c(-2262948.51391255, 1965764.34007999)
"3","Albe Home",NA,"IOR",106843.611111111,42.378947368421,34.1557554709148,3257.38381372307,1336.770775585,18,55,"Urban and Built-up",17.269868850708,17,14.3500003814697,130.1,0.821706473827362,c(-122.3209, 37.942801),c(-2262021.19624976, 1971682.4101157)
"4","Alexander Home",NA,"Sarah (Alison + Hoover) Home",112022.1875,42.0352941176471,33.8583504755132,2987.42827047226,1162.05330506945,9,64,"Urban and Built-up",18.9169063568115,19,14.3500003814697,128.7,0.916999280452728,c(-122.32046, 37.933188),c(-2262278.96244803, 1970635.55774919)
"5","Andrews Home",NA,"",178170.470588235,45.0941176470588,58.6954373226225,3516.1533072414,1533.20084396734,35,52,"Urban and Built-up",19.8343524932861,20,14.1499996185303,108.8,0.925353705883026,c(-122.221358, 37.808965),c(-2257771.72888416, 1954884.44313592)
"6","Bataclan Home",NA,"Therese Home",97470.4074074074,37.2962962962963,49.6147600337292,6147.16581276956,3339.48929773257,103,84,"Urban and Built-up",21.0762481689453,21,14.25,109,0.934111475944519,c(-122.257263, 37.828543),c(-2260185.70041915, 1957849.0923444)
"7","Bates-Luterman Home",NA,"",63842.875,34.725,11.5626091556869,7984.27795752274,2518.24408211566,3,88,"Urban and Built-up",17.4847049713135,17,14.25,100.8,0.938226342201233,c(-122.2123669, 37.7824258),c(-2257827.35841503, 1951808.82901853)
"8","Beery Home","ADH","Annaliese and David Home",220164,50.6,70.0559985718485,305.080525517011,112.547628089156,1,0,"Temperate or Subpolar Needleaf Forest",6.49623966217041,6,13.75,133.2,0.610605418682098,c(-122.21029, 37.88741),c(-2254448.77360694, 1963081.35912829)
"9","Belau Home",NA,"",112023.954545455,40.0173913043478,41.5857099260613,5110.63463792826,2218.26118901716,30,43,"Urban and Built-up",19.7498741149902,20,14.1499996185303,104.1,0.929176568984985,c(-122.2675184, 37.7744075),c(-2262701.6651703, 1952255.91364644)
"10","Belgum Trail","BET","",124991.571428571,46.3571428571429,47.6645939138197,1969.15468203918,856.51837604717,1,0,"Mixed Forest",10.977632522583,11,14.25,131.6,0.592338383197784,c(-122.30955, 37.94835),c(-2260900.83891062, 1972010.56831632)
"11","Berges Home",NA,"",100139.75,42.715,25.0100257479123,4736.22644623666,1777.23887134871,36,70,"Urban and Built-up",14.6688070297241,15,14.3500003814697,95.9,0.935781359672546,c(-122.157691, 37.729005),c(-2254864.71932363, 1944749.24735888)
"12","Berges Studio",NA,"",69430.2692307692,37.337037037037,27.8273307938483,7905.78811058564,4090.7455333693,54,94,"Urban and Built-up",14.6805601119995,15,14.25,106.9,0.955547749996185,c(-122.2727, 37.816316),c(-2261854.52615017, 1956897.98255614)
"13","Blake Garden","BG","",154107.384615385,49.0153846153846,59.1615067825353,1816.76452786817,778.217844804011,1,5,"Urban and Built-up",18.3050479888916,18,14.1499996185303,129.9,0.843423247337341,c(-122.28521, 37.91269),c(-2259954.26722002, 1967586.85345727)
"14","Booker T. Anderson Park","BTA","",64334.9090909091,34.6615384615385,18.6053882661464,3256.70553485451,1285.03070842962,4,37,"Urban and Built-up",17.4059600830078,17,14.3500003814697,127.5,0.931463420391083,c(-122.32587, 37.91948),c(-2263152.19484857, 1969286.52121776)
"15","Borozan Home",NA,"Mac Home",89407.5625,34.68125,27.2795764682506,4389.35461552339,1864.97227909976,15,61,"Urban and Built-up",18.37668800354,18,14.1499996185303,109.3,0.944469094276428,c(-122.2937096, 37.8072335),c(-2263894.96834449, 1956418.97897085)
"16","Briones 1 South",NA,"",210380.25,51.65,68.5741072211266,195.435378962603,75.2636587567613,1,0,"Mixed Forest",10.9422664642334,11,14.1499996185303,121.8,0.391176372766495,c(-122.15976, 37.92933),c(-2248935.87411633, 1966405.32057388)
"17","Briones 2 North",NA,"",182843.5,54.2,62.1446244771306,64.4342143852108,26.3425050530505,1,0,"Mixed Forest",11.0116910934448,11,14.25,120.6,0.406720757484436,c(-122.13504, 37.95218),c(-2246169.11470166, 1968285.4232851)
"18","Bushrod Community Garden",NA,"",112968.576923077,35.9555555555556,51.6490740518933,5614.69382196635,2441.30815146325,53,55,"Urban and Built-up",8.85834789276123,9,14.25,112.1,0.942417800426483,c(-122.264365, 37.845006),c(-2260277.9060259, 1959793.16583134)
"19","Butterfly Hill","BH","IOR",98501.7142857143,40.4571428571429,32.4132219231997,2251.18471178763,823.358915503252,4,0,"Mixed Forest",10.8955373764038,11,14.3500003814697,131.5,0.740581929683685,c(-122.30917, 37.95944),c(-2260529.29007483, 1973197.18651473)
"20","Carlen Home",NA,"IOR, pilot+",150859.35,41.375,64.2818490463813,4843.62215351722,2225.41605010279,63,59,"Urban and Built-up",22.1550636291504,22,14.25,115.3,0.924059152603149,c(-122.254023, 37.849935),c(-2259259.96535043, 1960078.73110216)
"21","Carquinez",NA,"",70512,45.9666666666667,56.4752451287996,1183.16638560663,534.060022994314,1,0,"Mixed Forest",11,11,14.5500001907349,118.7,0.702732145786285,c(-122.15025, 38.01594),c(-2245501.44123844, 1975522.54086589)
"22","Chabot Space Center","CSC","",171900.6,49.02,64.765227925984,971.366675388274,340.016674711853,1,10,"Urban and Built-up",6.00763320922852,6,13.4499998092651,121.9,0.565465271472931,c(-122.18259, 37.81925),c(-2254205.00659204, 1955073.32566446)
"23","Chen Home","TCH","Retired from UWIN",132294.321428571,41.6033333333333,46.127696784076,6194.08648932264,3112.46528530522,49,50,"Urban and Built-up",16.4516544342041,16,14.25,106.6,0.934572577476501,c(-122.239443, 37.808212),c(-2259312.17275383, 1955233.04707212)
"24","Claremont-Clark Kerr Trak","CCK","",135459.181818182,32.9647058823529,54.6103448379627,10722.3511106118,2874.59298271268,6,0,"Temperate or Subpolar Needleaf Forest",15.9299430847168,16,14.1499996185303,120.2,0.814394474029541,c(-122.24519, 37.86408),c(-2258086.99327446, 1961394.07091344)
"25","Cleary Home",NA,"",201301.285714286,44.4,59.967522881858,978.637363795892,480.998606476588,1,5,"Urban and Built-up",14.9243936538696,15,13.6499996185303,125.8,0.661476612091064,c(-122.212138, 37.853646),c(-2255634.27327363, 1959483.96398897)
"26","Corica Park Golf Course","CGCN","",116156.333333333,44.74,40.6040472114299,3404.97970769967,1274.42126683722,1,70,"Urban and Built-up",14.1640796661377,14,14.25,100.5,0.703209400177002,c(-122.23578, 37.74646),c(-2260891.34073755, 1948486.99776646)
